session;Raw_Cluster;Macro_Cluster;k_aircraft;k_operator;k_mission
3136633;37;Cluster 1 (Majeur A);41620;83;1
3136678;37;Cluster 1 (Majeur A);52521;10;1
3136692;31;Cluster 3 (Mineur A);50440;83;1
3136791;37;Cluster 1 (Majeur A);46450;3;1
3136797;39;Cluster 2 (Majeur B);46852;20;-2
3136798;37;Cluster 1 (Majeur A);54811;83;1
3136928;37;Cluster 1 (Majeur A);52524;83;1
3136931;36;Cluster 5 (Outliers);52520;112;1
3137281;39;Cluster 2 (Majeur B);48382;81;1
3137312;37;Cluster 1 (Majeur A);46450;3;1
3137326;37;Cluster 1 (Majeur A);52523;83;1
3137345;37;Cluster 1 (Majeur A);41621;83;1
3137358;37;Cluster 1 (Majeur A);52522;83;1
3137359;37;Cluster 1 (Majeur A);41620;83;1
3137366;4;Cluster 5 (Outliers);50440;83;1
3137466;39;Cluster 2 (Majeur B);52255;298;1
3137485;39;Cluster 2 (Majeur B);52254;298;1
3137529;37;Cluster 1 (Majeur A);54806;394;1
3137530;37;Cluster 1 (Majeur A);54806;394;1
3137542;39;Cluster 2 (Majeur B);56585;12;3
3137549;39;Cluster 2 (Majeur B);54809;394;1
3137591;39;Cluster 2 (Majeur B);46896;20;-2
3137700;37;Cluster 1 (Majeur A);50670;3;1
3137753;37;Cluster 1 (Majeur A);46829;3;1
3137763;37;Cluster 1 (Majeur A);41622;81;1
3137764;39;Cluster 2 (Majeur B);46851;81;1
3137802;37;Cluster 1 (Majeur A);46450;3;1
3137803;37;Cluster 1 (Majeur A);52519;3;1
3137804;37;Cluster 1 (Majeur A);46874;10;1
3137805;37;Cluster 1 (Majeur A);52521;10;1
3137848;39;Cluster 2 (Majeur B);41624;81;1
3137861;39;Cluster 2 (Majeur B);56585;12;3
3137903;37;Cluster 1 (Majeur A);50826;3;1
3137904;37;Cluster 1 (Majeur A);50826;3;1
3137956;37;Cluster 1 (Majeur A);50670;3;1
3138060;37;Cluster 1 (Majeur A);52519;3;1
3138066;37;Cluster 1 (Majeur A);46874;10;1
3138092;37;Cluster 1 (Majeur A);46829;3;1
3138099;37;Cluster 1 (Majeur A);52521;10;1
3138105;37;Cluster 1 (Majeur A);41621;83;1
3138136;39;Cluster 2 (Majeur B);48109;20;-2
3138138;37;Cluster 1 (Majeur A);52524;83;1
3138270;41;Cluster 4 (Mineur B);46852;20;-2
3138398;20;Cluster 5 (Outliers);56593;23;4
3138400;39;Cluster 2 (Majeur B);48117;10;1
3139229;39;Cluster 2 (Majeur B);50826;3;1
3139328;39;Cluster 2 (Majeur B);50826;3;1
3139332;37;Cluster 1 (Majeur A);41620;83;1
3140206;39;Cluster 2 (Majeur B);52255;298;1
3140217;39;Cluster 2 (Majeur B);52254;298;1
3140221;41;Cluster 4 (Mineur B);46875;112;1
3140269;37;Cluster 1 (Majeur A);46853;335;1
3140420;31;Cluster 3 (Mineur A);48109;20;-2
3140434;17;Cluster 5 (Outliers);48382;81;1
3140550;39;Cluster 2 (Majeur B);56585;12;3
3140572;39;Cluster 2 (Majeur B);56585;12;3
3140760;37;Cluster 1 (Majeur A);52524;83;1
3140811;37;Cluster 1 (Majeur A);52522;83;1
3140844;37;Cluster 1 (Majeur A);52520;112;1
3140872;37;Cluster 1 (Majeur A);52523;83;1
3140940;37;Cluster 1 (Majeur A);52524;83;1
3141005;37;Cluster 1 (Majeur A);52522;83;1
3141063;19;Cluster 5 (Outliers);48382;81;1
3141064;39;Cluster 2 (Majeur B);48382;81;1
3141099;17;Cluster 5 (Outliers);48382;81;1
3141161;37;Cluster 1 (Majeur A);46875;112;1
3141188;37;Cluster 1 (Majeur A);46433;10;1
3141212;37;Cluster 1 (Majeur A);52524;83;1
3141322;37;Cluster 1 (Majeur A);46853;335;1
3141347;39;Cluster 2 (Majeur B);46852;20;-2
3143148;39;Cluster 2 (Majeur B);46896;20;-2
3144247;37;Cluster 1 (Majeur A);48090;3;1
3146947;39;Cluster 2 (Majeur B);56585;12;3
3147200;39;Cluster 2 (Majeur B);52254;298;1
3147748;37;Cluster 1 (Majeur A);54806;394;1
3147750;37;Cluster 1 (Majeur A);54806;394;1
3148731;37;Cluster 1 (Majeur A);54808;394;1
3148759;37;Cluster 1 (Majeur A);46874;10;1
3148787;39;Cluster 2 (Majeur B);46890;81;1
3148790;39;Cluster 2 (Majeur B);41622;81;1
3148957;39;Cluster 2 (Majeur B);56578;12;3
3148958;39;Cluster 2 (Majeur B);56585;12;3
3148959;39;Cluster 2 (Majeur B);56578;12;3
3148962;38;Cluster 5 (Outliers);41623;161;1
3148985;37;Cluster 1 (Majeur A);48090;3;1
3148987;39;Cluster 2 (Majeur B);50670;3;1
3148989;37;Cluster 1 (Majeur A);50670;3;1
3149025;39;Cluster 2 (Majeur B);48380;20;-2
3149034;37;Cluster 1 (Majeur A);48382;81;1
3149035;37;Cluster 1 (Majeur A);41624;81;1
3149160;39;Cluster 2 (Majeur B);52519;3;1
3149252;37;Cluster 1 (Majeur A);52521;10;1
3149272;37;Cluster 1 (Majeur A);46890;81;1
3149273;37;Cluster 1 (Majeur A);41619;81;1
3149279;37;Cluster 1 (Majeur A);52524;83;1
3149282;37;Cluster 1 (Majeur A);41621;83;1
3149322;37;Cluster 1 (Majeur A);50826;3;1
3149332;39;Cluster 2 (Majeur B);46896;20;-2
3149382;37;Cluster 1 (Majeur A);52523;83;1
3149453;37;Cluster 1 (Majeur A);41559;81;1
3149456;37;Cluster 1 (Majeur A);41622;81;1
3149457;37;Cluster 1 (Majeur A);52522;83;1
3149564;39;Cluster 2 (Majeur B);41623;161;1
3149569;37;Cluster 1 (Majeur A);48117;10;1
3149580;33;Cluster 5 (Outliers);48382;81;1
3149582;20;Cluster 5 (Outliers);48382;81;1
3149584;37;Cluster 1 (Majeur A);52524;83;1
3149630;29;Cluster 5 (Outliers);46433;10;1
3149636;37;Cluster 1 (Majeur A);46433;10;1
3149679;39;Cluster 2 (Majeur B);41623;161;1
3149858;39;Cluster 2 (Majeur B);52522;83;1
3149860;39;Cluster 2 (Majeur B);41621;83;1
3149965;37;Cluster 1 (Majeur A);52523;83;1
3150084;37;Cluster 1 (Majeur A);50825;335;1
3150085;37;Cluster 1 (Majeur A);50825;335;1
3150088;41;Cluster 4 (Mineur B);46875;112;1
3150093;37;Cluster 1 (Majeur A);46875;112;1
3150095;37;Cluster 1 (Majeur A);46875;112;1
3150109;37;Cluster 1 (Majeur A);46859;335;1
3150110;37;Cluster 1 (Majeur A);46859;335;1
3150128;39;Cluster 2 (Majeur B);48109;20;-2
3150199;39;Cluster 2 (Majeur B);52255;298;1
3150223;39;Cluster 2 (Majeur B);48380;20;-2
3150350;37;Cluster 1 (Majeur A);41622;81;1
